PGC,W1_Re_arcsec,W1_numnans,W1_why,W2_Re_arcsec,W2_numnans,W2_why,W3_Re_arcsec,W3_numnans,W3_why,W4_Re_arcsec,W4_numnans,W4_why,NUV_Re_arcsec,NUV_numnans,NUV_why,FUV_Re_arcsec,FUV_numnans,FUV_why,Mass,DIST_MPC,W1_Re_kpc,W2_Re_kpc,W3_Re_kpc,W4_Re_kpc,NUV_Re_kpc,FUV_Re_kpc,GALTYPE_COURSE
100031,,0,All NaN,,0,All NaN,,0,All NaN,,0,All NaN,,0,All NaN,,0,All NaN,10683633962.088636,38.725746,,,,,,,ET
100035,12.83669650126382,0,,12.83669650126382,0,,12.637789105290402,0,,12.637789105290402,0,,,0,All NaN,,0,All NaN,6319344039.65166,58.15677,3.6193319624748823,3.6193319624748823,3.563249628850468,3.563249628850468,,,LT
100042,17.929295087895362,0,,18.080432242079706,0,,17.192350106892174,0,,16.764803425328406,0,,,0,All NaN,,0,All NaN,11590842378.82689,35.809635,3.1127050929652427,3.138944015759452,2.984764067712528,2.9105376842066635,,,LT
100050,,0,All NaN,,0,All NaN,,0,All NaN,,0,All NaN,,0,All NaN,,0,All NaN,6888997069.368065,32.299820000000004,,,,,,,ET
100060,9.82348016223914,0,,9.82348016223914,0,,9.82348016223914,0,,9.754678608674105,0,,,0,All NaN,,0,All NaN,9264926961.913874,41.077145,1.9563226823364155,1.9563226823364155,1.9563226823364155,1.9426210167763176,,,LT
100070,9.00051660154518,1,,8.937355186728993,1,,9.064124386035417,1,,8.937355186728993,1,,,0,All NaN,,0,All NaN,1665056596.183626,39.318752,1.7157026764134153,1.7036626776840553,1.7278277633303032,1.7036626776840553,,,LT
100071,10.129726788125119,0,,10.129726788125119,0,,10.202491734838652,0,,10.202491734838652,0,,,0,All NaN,,0,All NaN,1508728172.4910097,25.32796,1.243863747619685,1.243863747619685,1.2527988039353741,1.2527988039353741,,,LT
10008,17.9400674190148,0,,18.097306966293214,0,,17.9400674190148,0,,18.097306966293214,0,,19.920611083118256,0,,20.095209527765064,0,,46847562578.52273,58.748943,5.109742264772298,5.154527690693864,5.109742264772298,5.154527690693864,5.673846480845094,5.723576118484565,ET
100080,13.365700121424682,0,,13.365700121424682,0,,12.94490050964802,0,,12.739495184071927,0,,,0,All NaN,,0,All NaN,17698685008.87645,51.05052,3.308009513486251,3.308009513486251,3.203861649447526,3.1530238508321524,,,ET
1000913,12.344747180704791,0,,12.344747180704791,0,,11.975084398720456,0,,11.528533385111725,0,,12.344747180704791,0,,13.523622875007636,0,,9353604443.66702,64.68448000000001,3.8713029461689685,3.8713029461689685,3.755376990291817,3.6153389458270198,3.8713029461689685,4.240997430933704,
100096,26.174071246240644,0,,25.471277747897343,0,,21.830698036202175,0,,20.674095837255475,0,,,0,All NaN,,0,All NaN,7832456652.033633,35.809635,4.54408076125719,4.422068775238121,3.7900276964123227,3.5892299775088743,,,LT
100097,7.983178717933328,0,,8.035776670406921,0,,8.035776670406921,0,,6.642318087557353,0,,,0,All NaN,,0,All NaN,9507777284.103329,54.000767,2.090020986663327,2.10379129400699,2.10379129400699,1.7389795084885915,,,LT
1001,8.6627546714068,0,,8.6627546714068,0,,8.780684344587598,0,,8.721520184246826,0,,,0,All NaN,,0,All NaN,1638690741.570915,44.5861,1.8725368281785972,1.8725368281785972,1.8980284488630659,1.8852395527960866,,,LT
10010,29.713015068669677,0,,27.40324635021425,0,,19.428398594068756,0,,18.470198474485436,0,,29.713015068669677,0,,25.273029640211195,0,,5940554711.3070545,17.3,2.4921127847287403,2.298386091569997,1.6295135451985088,1.5491466499903506,2.4921127847287403,2.119718922150388,LT
100101,18.9298915917971,0,,19.093251492045358,0,,21.349752924421225,0,,21.533995580600482,0,,,0,All NaN,,0,All NaN,39000753703.1739,62.2874,5.716407713889878,5.765738783187923,6.447152204489635,6.5027894032503,,,LT
100102,12.058275997490567,0,,12.058275997490567,0,,11.435708012781287,0,,11.78741513988559,0,,,0,Fit wouldnt work,,0,All NaN,35544220957.96086,58.748943,3.43447329742814,3.43447329742814,3.2571516703760928,3.3573259189010294,,,ET
1001046,16.98471170686642,0,,16.845609706675436,0,,16.845609706675436,0,,12.841892756842645,0,,17.69764202630531,0,,17.552701243852823,0,,1670540465.4370742,57.54396,4.738411699282371,4.699604885456261,4.699604885456261,3.5826439641806105,4.937305706122456,4.896869983036361,LT
100123,9.299777438082407,0,,9.299777438082407,0,,8.920692973082602,0,,,0,Fit wouldnt work,,0,Fit wouldnt work,,0,All NaN,4106454356.693699,38.14173,1.719680669510358,1.719680669510358,1.6495817632825265,,,,ET
