RA_DEG,DEC_DEG,POSANG_DEG,INCL_DEG,PGC,w1re,w2re,w3re,w4re,nuvre,fuvre
156.54312133789062,-39.942989349365234,175.0,,PGC100031,,,,,,
128.76974487304688,-55.17986297607422,130.5,66.12999725341797,PGC100035,29.416,16.566,13.436,12.622,,
130.86529541015625,-56.20797348022461,5.0,47.630001068115234,PGC100042,16.768,19.06,15.246,64.643,,
133.73851013183594,-58.91908264160156,57.400001525878906,90.0,PGC100050,,,,,,
145.43179321289062,-60.798763275146484,30.0,55.529998779296875,PGC100060,16.374,15.119,12.313,11.455,,
153.4998321533203,-51.76091766357422,30.5,73.87000274658203,PGC100070,31.225,82.56,16.063,36.765,,
153.93104553222656,-67.9239730834961,169.0,70.52999877929688,PGC100071,17.168,50.146,14.089,12.996,,
39.633460998535156,41.52922821044922,36.0,66.79000091552734,PGC10008,18.04,17.774,,,,45.318
155.04696655273438,-64.01689147949219,4.0,70.33999633789062,PGC100080,35.273,39.758,17.23,60.117,,
193.51248168945312,-8.653658866882324,26.0,73.54000091552734,PGC1000913,13.467,,16.61,8.886,14.179,21.411
162.05816650390625,-53.301612854003906,37.0,77.25,PGC100096,176.392,120.196,63.009,30.257,,
165.56129455566406,-52.96586227416992,162.0,55.86000061035156,PGC100097,12.404,11.961,16.254,,,
3.761892080307007,-43.29230880737305,107.93000030517578,47.41999816894531,PGC1001,21.449,21.999,15.493,9.121,,
39.636295318603516,-6.677417278289795,74.33000183105469,59.88999938964844,PGC10010,91.775,15.824,18.413,35.758,22.166,82.86
172.2492218017578,-58.42293930053711,100.0,65.19000244140625,PGC100101,27.417,39.932,20.086,20.841,,
172.47633361816406,-55.469417572021484,25.0,29.010000228881836,PGC100102,45.122,16.423,15.176,13.237,5.373,
340.8785400390625,-8.645547866821289,153.36000061035156,76.93000030517578,PGC1001046,18.847,27.343,15.041,69.904,26.02,33.122
162.23716735839844,-51.95858383178711,158.0,60.150001525878906,PGC100123,29.876,29.394,62.523,16.165,,
19.599584579467773,32.710445404052734,164.5,71.26000213623047,PGC100133,96.556,40.105,28.198,,53.517,21.485
20.639097213745117,36.71232604980469,114.47000122070312,76.73999786376953,PGC100135,19.741,19.515,12.221,46.823,16.514,23.347
27.60095977783203,36.3404426574707,152.0,90.0,PGC100137,,,,,,
39.66608428955078,41.64755630493164,74.5,41.900001525878906,PGC10015,18.226,,100.156,,15.333,
28.72945785522461,35.87441635131836,130.0,76.25,PGC100158,26.22,22.645,23.821,34.322,32.239,
39.66812515258789,33.44558334350586,92.0,64.88999938964844,PGC10017,36.481,30.209,24.72,25.795,24.406,24.67
317.2271728515625,-46.748260498046875,179.5,90.0,PGC100174,,,,,,
237.0293426513672,-8.589580535888672,135.0,61.209999084472656,PGC1001786,18.986,19.161,30.484,23.488,,
55.375980377197266,-8.570684432983398,168.0,45.869998931884766,PGC1002028,28.851,20.593,18.79,19.024,13.706,13.771
39.69770812988281,41.67033386230469,61.0,30.040000915527344,PGC10026,35.416,50.479,51.943,42.95,29.845,
39.70720672607422,41.45977783203125,,90.0,PGC10028,,,,,,
39.71614074707031,27.846820831298828,106.2300033569336,71.83999633789062,PGC10029,25.194,25.282,24.857,25.475,29.882,
129.88734436035156,-8.483712196350098,47.0,72.41999816894531,PGC1003139,45.362,39.17,23.535,37.545,14.377,75.144
39.72770309448242,-14.305540084838867,25.25,82.87000274658203,PGC10032,194.66,,38.529,30.113,59.377,39.556
39.731834411621094,34.622249603271484,136.07000732421875,56.119998931884766,PGC10034,15.058,13.608,11.773,11.02,29.315,27.252
