W1_0p25R25,W1_0p5R25,W1_0p75R25,W1_1p0R25,W1_1p25R25,W1_1p5R25,W1_2p0R25,W2_0p25R25,W2_0p5R25,W2_0p75R25,W2_1p0R25,W2_1p25R25,W2_1p5R25,W2_2p0R25,W3_0p25R25,W3_0p5R25,W3_0p75R25,W3_1p0R25,W3_1p25R25,W3_1p5R25,W3_2p0R25,W4_0p25R25,W4_0p5R25,W4_0p75R25,W4_1p0R25,W4_1p25R25,W4_1p5R25,W4_2p0R25,NUV_0p25R25,NUV_0p5R25,NUV_0p75R25,NUV_1p0R25,NUV_1p25R25,NUV_1p5R25,NUV_2p0R25,FUV_0p25R25,FUV_0p5R25,FUV_0p75R25,FUV_1p0R25,FUV_1p25R25,FUV_1p5R25,FUV_2p0R25,PGC,SFRFUVW3_0p25R25,SFRFUVW4_0p25R25,M/Msun_0p25R25,mag_W1_0p25R25,mag_W2_0p25R25,SFR/M*_0p25R25,SFRFUVW3_0p5R25,SFRFUVW4_0p5R25,M/Msun_0p5R25,mag_W1_0p5R25,mag_W2_0p5R25,SFR/M*_0p5R25,SFRFUVW3_0p75R25,SFRFUVW4_0p75R25,M/Msun_0p75R25,mag_W1_0p75R25,mag_W2_0p75R25,SFR/M*_0p75R25,SFRFUVW3_1p0R25,SFRFUVW4_1p0R25,M/Msun_1p0R25,mag_W1_1p0R25,mag_W2_1p0R25,SFR/M*_1p0R25,SFRFUVW3_1p25R25,SFRFUVW4_1p25R25,M/Msun_1p25R25,mag_W1_1p25R25,mag_W2_1p25R25,SFR/M*_1p25R25,SFRFUVW3_1p5R25,SFRFUVW4_1p5R25,M/Msun_1p5R25,mag_W1_1p5R25,mag_W2_1p5R25,SFR/M*_1p5R25,SFRFUVW3_2p0R25,SFRFUVW4_2p0R25,M/Msun_2p0R25,mag_W1_2p0R25,mag_W2_2p0R25,SFR/M*_2p0R25,T,MORPH,BAR,w1,w2,w3,w4,nuv,fuv
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,E   ,0,,,,,,
4.619348166863886e+41,1.4050276264643902e+42,1.9788460177563678e+42,2.898299786604815e+42,3.378013927999162e+42,3.5637630778791845e+42,3.7623226538712163e+42,2.2950840908208143e+41,6.994426620438865e+41,9.80851334625712e+41,1.4329496740718227e+42,1.6643324058082928e+42,1.7454107803809986e+42,1.8307739762932813e+42,5.9765935747835886e+41,1.8392414380984553e+42,2.551352791580756e+42,3.6801520721635283e+42,4.246349113457044e+42,4.37739754545839e+42,4.5602202377356466e+42,4.957995162464412e+41,1.5462420195040174e+42,2.0990625677123505e+42,3.027162168673076e+42,3.474900539021623e+42,3.549121540188586e+42,3.6378223050015376e+42,,,,,,,,,,,,,,,100035,,,9.010006094928617,-15.464025985506272,-14.704570749603477,,,,9.551082761743274,-16.67178640250327,-15.914454539035072,,,,9.71765715583994,-17.04360424646904,-16.2815822117062,,,,9.903276215863967,-17.45793250545125,-16.693151588368586,,,,9.977776522627991,-17.624227833049513,-16.85567441658136,,,,10.003813597357029,-17.682346303426833,-16.90731837837317,,,,10.030186476506064,-17.74121433724164,-16.95916106951825,,0.0,S0-a,0,0.15938130997398223,0.16016501712158382,0.16240072305680572,0.16378359949700666,,
9.629982277783368e+41,2.4616029282823008e+42,5.650867084386697e+42,8.294719199282539e+42,9.301263688519666e+42,9.450148633394444e+42,9.553940494435817e+42,3.897033120144018e+41,9.965380559435992e+41,2.3150022007387385e+42,3.40802761429028e+42,3.8184050083163975e+42,3.882658894225111e+42,3.9392789929851935e+42,3.955679727851049e+40,9.996311463260081e+40,1.938306581857262e+41,2.6989739613188853e+41,2.966266345146222e+41,2.9824432698209306e+41,3.0554014117104678e+41,1.7320701114389498e+40,4.4947000598285155e+40,8.667864809272847e+40,9.314723077271512e+40,1.035352277023465e+41,1.2544552311317167e+41,1.2631365740722449e+41,,,,,,,,,,,,,,,100042,,,9.367336260860725,-16.261637963033294,-15.279409485305171,,,,9.823839874282092,-17.280619242991705,-16.298808963957278,,,,10.228044617756314,-18.18286197396095,-17.21395276385058,,,,10.414733605503354,-18.599578464467736,-17.63383200600625,,,,10.4704427059216,-18.723929135044177,-17.757279220793947,,,,10.47816699034767,-18.74117084135237,-17.77539733797947,,,,10.48348015027416,-18.75303057333113,-17.79111609355361,,2.0,Sab ,0,0.11609774901863253,0.11434863684212176,0.14656235238068246,0.185949716064593,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,E   ,0,,,,,,
1.657811797002564e+41,5.873811020600742e+41,1.2194431697534407e+42,1.5879029975519415e+42,1.957494795363549e+42,2.1911741700413e+42,2.3866167040832174e+42,7.780078170223214e+40,2.7707457521908384e+41,5.754289700036617e+41,7.461850055956601e+41,9.176366363263254e+41,1.0157266636569684e+42,1.0719374317203185e+42,1.623100886160684e+41,5.92625876750818e+41,1.230610103999793e+42,1.6191270838376478e+42,1.99486886730554e+42,2.1848832421010838e+42,2.2388923235894193e+42,1.270002801580963e+41,4.669098125385361e+41,9.510746171099754e+41,1.2490491060949364e+42,1.510228682982598e+42,1.6429186262494036e+42,1.645812569654709e+42,,,,,,,,,,,,,,,100060,,,8.511555167273329,-14.351412307704285,-13.530034144766411,,,,9.12686608056054,-15.724874167720385,-14.909065933553176,,,,9.482176667793587,-16.517978157079867,-15.702553550030231,,,,9.610598559202096,-16.804634164688142,-15.984690537697507,,,,9.712380404369132,-17.031825783364557,-16.209251104060534,,,,9.767233842130503,-17.15426649265334,-16.319516376287382,,,,9.808792311496454,-17.247030933202332,-16.377997834854924,,4.0,Sbc ,0,0.10440258627626502,0.10426473477596322,0.10024542868578404,0.10167757179311683,,
,5.760147718603448e+40,8.194693899114554e+40,1.0308223000181522e+41,1.5226785774499502e+41,1.4563433337553339e+41,1.79970713484156e+41,,2.6462516520849326e+40,3.7235765927168674e+40,4.742553265719005e+40,6.931333192882085e+40,6.535987391825765e+40,7.476932451368402e+40,,4.686945851419705e+40,6.855354284842795e+40,9.113591060805789e+40,1.283294841238349e+41,1.3457429143612044e+41,1.4377010935203492e+41,,5.264403156179289e+40,7.694439253882135e+40,1.0173997393716479e+41,1.3883534895900577e+41,1.4045027653955174e+41,1.5351894303521818e+41,,,,,,,,,,,,,,,100070,,,,,,,,,7.997361369969788,-13.203658295866028,-12.359152098724842,,,,8.168832378490976,-13.586406082743672,-12.729974972224882,,,,8.280441576223224,-13.835533756253163,-12.992604786673589,,,,8.470196940646353,-14.259094837554784,-13.40461618360898,,,,8.448531139308821,-14.21073367385494,-13.340852257704016,,,,8.551501773433714,-14.440578839312293,-13.486882886144777,,5.0,Sc  ,0,,,,,,
3.253558592913301e+40,8.729660122407187e+40,1.807985285792164e+41,2.051132094217862e+41,2.7428539819940964e+41,3.184648142447596e+41,3.512051714056166e+41,1.4619691641138842e+40,3.9209090767199195e+40,8.109274414137425e+40,9.203342266342838e+40,1.23203808706976e+41,1.431565973568658e+41,1.5836295467217672e+41,1.7836800172002012e+40,4.825811304283032e+40,1.0241462618644439e+41,1.1634264340931204e+41,1.5386669915208282e+41,1.8056622069248058e+41,2.0010915564240477e+41,1.3169034001810973e+40,3.621930958349481e+40,7.7510294621851265e+40,8.80126462974106e+40,1.1638442277333818e+41,1.3400501034661175e+41,1.475109219840953e+41,,,,,,,,,,,,,,,100071,,,7.7195173825967895,-12.583470824051295,-11.714919774742462,,,,8.199592730034318,-13.655067581724351,-12.786041171858725,,,,8.553733993096,-14.445561472487027,-13.575029235802765,,,,8.615108580153082,-14.582558318596597,-13.712438176962564,,,,8.756462725222496,-14.89808096384082,-14.02913457772021,,,,8.82910454522009,-15.060227883478309,-14.19210266140537,,,,8.876703924842602,-15.16647649870713,-14.3017082334364,,5.0,Sc  ,0,0.15862257736033078,0.15885198244342072,0.1533126603394191,0.149626611127115,,
2.4415475345916685e+42,6.499979185372046e+42,9.329920889790489e+42,1.0981712895413425e+43,1.2096714175235975e+43,1.269944949274151e+43,1.3069463094083682e+43,1.0182485652294986e+42,2.7079565575885407e+42,3.8868610307033516e+42,4.570116208494262e+42,5.022271341123057e+42,5.265968755233547e+42,5.42427830526456e+42,4.8405030586813636e+41,1.3340835795565667e+42,1.9191322551151073e+42,2.224387112527404e+42,2.39139432026696e+42,2.4365296170603757e+42,2.459087255737864e+42,2.4813697968668518e+41,6.677961819049803e+41,9.75527077476229e+41,1.121726165974422e+42,1.211040356446297e+42,1.3323927054645663e+42,1.2846488827573804e+42,1.3255335065407609e+41,3.642315509886701e+41,5.236354034693293e+41,6.34881422508893e+41,7.774951447726266e+41,9.132359904623553e+41,1.104559517713561e+42,9.86999323878845e+40,2.777355416577096e+41,4.557152368846099e+41,5.663232324847752e+41,6.915915929209247e+41,7.281931040877429e+41,8.073379164403239e+41,10008,0.08225623413980537,0.04995773457163848,9.819860720508498,-17.271737203318505,-16.32220876035025,0.008376517394795181,0.22692223279651974,0.13490867881574575,10.296137116259946,-18.334854158120844,-17.38417847556057,0.02203955039003491,0.32857261703181423,0.198977452324006,10.471939031078836,-18.727269146555862,-17.776571776606488,0.03137648300440536,0.38228435674127204,0.23040619523998376,10.551226210052832,-18.90424945676568,-17.952392351844434,0.036231272946934366,0.4141323245588738,0.25179984599312605,10.598263223854136,-19.00924279114359,-18.054824675535702,0.0390754896167102,0.42284396321105255,0.2757882614476937,10.621914797022008,-19.062036481250445,-18.10626993822413,0.03980863820613609,0.4295113856720482,0.2699069474789005,10.635884390753287,-19.09321861011491,-18.138429153126427,0.04038323188671178,-2.0,S0  ,0,0.22232847988690316,0.2228058366080336,0.21761064121529924,0.22120994161808943,0.20878442171178724,0.1742819766634559
9.744286955018842e+41,2.7224559624925353e+42,3.828918464895214e+42,4.942633838516812e+42,5.753289032268316e+42,6.165677780337457e+42,6.291352156827734e+42,4.857071248103833e+41,1.3440930337422976e+42,1.8598857780367505e+42,2.38523458514886e+42,2.7725906246200015e+42,2.965515466217193e+42,3.0125153544905287e+42,4.11871407625298e+41,1.0954303213860302e+42,1.4054619859344262e+42,1.748304061659498e+42,2.0009693819805368e+42,2.134446954343698e+42,2.2073743633309938e+42,6.408992053838818e+41,1.6843414904047017e+42,2.0957196374570403e+42,2.573301412934116e+42,2.93292014480235e+42,3.091396116441782e+42,3.136924701525253e+42,,,,,,,,,,,,,,,100080,,,9.37307578702165,-16.27444940535678,-15.518510428721001,,,,9.872831881534028,-17.389976402036204,-16.623647568838038,,,,10.03872096696882,-17.76026453916743,-16.976289927127358,,,,10.162909165140723,-18.03747033865829,-17.246401987949294,,,,10.236781850083467,-18.202364724691208,-17.40978861921657,,,,10.270454238047028,-18.277526304967008,-17.48282472675689,,,,10.28026898926299,-18.29943423178835,-17.49989741617917,,-2.0,S0  ,0,0.1971476600002988,0.20363075725739188,0.23558339573629306,0.2490571847365207,,
2.1505738423419325e+41,8.117956712038852e+41,1.2472857737253382e+42,1.7734798555437538e+42,2.0715546273610952e+42,2.4268138315847087e+42,2.7188460317962962e+42,9.318037964450877e+40,3.533237257603977e+41,5.3887278306625164e+41,7.634677812111014e+41,8.8910319366154e+41,1.039124486179004e+42,1.1638890141147082e+42,5.726117072412481e+40,2.264358276505806e+41,3.2240081989148514e+41,4.479352499196891e+41,4.895607306287787e+41,5.535966127823243e+41,5.858356518017191e+41,8.914720664403743e+40,3.549909362454349e+41,4.769683929477911e+41,6.329565003251514e+41,6.484220145332616e+41,6.954969827849014e+41,6.9604611163140185e+41,1.5213295298929606e+40,5.587701106734685e+40,8.932302599296059e+40,1.334164572603754e+41,1.474178421867959e+41,1.6897236339632874e+41,1.7267674547457534e+41,5.2532958712869433e+39,3.122012201080671e+40,4.885241495494045e+40,7.812534887255651e+40,9.00598364585307e+40,1.1517919926106138e+41,1.4061147138118356e+41,1000913,0.009486399225297723,0.016799711414728767,8.638136596653679,-14.633960141142568,-13.725885432219426,0.0010981997238817282,0.03791054710278816,0.067289361535488,9.284256053336577,-16.076191071238316,-15.173006246761675,0.004083315548924771,0.05414460752473296,0.09067298792533683,9.493157599598778,-16.542489165573592,-15.63128986624143,0.005703540361219891,0.07561683405079395,0.12083225865478095,9.664361125413187,-16.924639892837902,-16.009551029060685,0.007824297236984823,0.0828214331060067,0.12416580872473153,9.73992767148433,-17.09331521888955,-16.17495466890735,0.00850329036307772,0.09416184867098254,0.13388658954673585,9.816916551345665,-17.265165397151467,-16.344243190224212,0.0095917947533205,0.1003573165905038,0.1349557501413207,9.872186482326756,-17.388535778805686,-16.46735316563321,0.010165662568283532,,    ,0,0.12126294164658333,0.12204886956289787,0.12783358919484736,0.14084254857678574,0.11402862593809815,0.06724188687920593
