,PGC,re,amp,n
0,PGC100031,,,
1,PGC100035,,,
2,PGC100042,,,
3,PGC100050,,,
4,PGC100060,,,
5,PGC100070,,,
6,PGC100071,,,
7,PGC10008,45.318,0.00024091157084877,3.014
8,PGC100080,,,
9,PGC1000913,21.411,0.0004969954746757171,0.526
10,PGC100096,,,
11,PGC100097,,,
12,PGC1001,,,
13,PGC10010,82.86,0.0007231976072290385,3.828
14,PGC100101,,,
15,PGC100102,,,
16,PGC1001046,33.122,0.003351212016276887,1.925
17,PGC100123,,,
18,PGC100133,21.485,0.0008323456006593691,0.918
19,PGC100135,23.347,0.0026595836225202668,0.51
20,PGC100137,,,
21,PGC10015,,,
22,PGC100158,,fit fail,fit fail
23,PGC10017,24.67,0.008317416624369953,0.523
24,PGC100174,,,
25,PGC1001786,,,
26,PGC1002028,13.771,0.01011534025144771,0.496
27,PGC10026,,,
28,PGC10028,,,
29,PGC10029,,,
30,PGC1003139,75.144,0.000687879104407455,4.148
31,PGC10032,39.556,0.0018782257194625612,4.417
32,PGC10034,27.252,0.004879297135620684,1.887
33,PGC10038,,,
34,PGC10041,11.127,0.126743817570293,0.79
35,PGC10042,,,
36,PGC10043,,,
37,PGC10044,30.698,0.029697336227108195,0.528
38,PGC10045,39.869,0.00823524616329692,0.938
39,PGC10047,18.625,0.008111192593974765,0.48
40,PGC1004715,,,
41,PGC10048,152.924,0.0013047554425871274,1.165
42,PGC10050,,,
43,PGC10051,,,
44,PGC10052,84.356,0.04095093742971602,0.531
45,PGC10055,,,
46,PGC1005530,,,
47,PGC10060,,,
48,PGC10062,,,
49,PGC1006370,15.052,0.008262396247273983,0.514
50,PGC10065,35.658,0.022698454312011725,0.34
51,PGC10066,,,
52,PGC1006861,,,
53,PGC1007,,,
54,PGC10072,29.641,0.013818121231469282,0.6
55,PGC1007266,,,
56,PGC100738,16.009,0.005410022559443447,0.349
57,PGC1007529,26.048,0.004072198576711853,0.57
58,PGC1007559,11.104,0.018119533552272794,0.549
59,PGC1007660,,,
60,PGC100768,,,
61,PGC10078,,,
62,PGC10079,,,
63,PGC1007925,23.999,0.0005354818798467421,0.108
64,PGC10080,,,
65,PGC1008446,18.599,0.004389454647290501,1.339
66,PGC10085,16.547,0.033976672166844524,0.429
67,PGC1009220,79.753,0.0009288557905352307,4.224
68,PGC1010080,,,
69,PGC1010767,,,
70,PGC10112,24.125,0.01650551120771904,0.785
71,PGC1011381,,,
72,PGC10122,91.428,0.007836620788300087,0.586
73,PGC10123,,,
74,PGC10124,,,
75,PGC101241,16.839,0.004374382677197114,1.94
76,PGC10125,17.303,0.00045763732855653934,1.365
77,PGC10127,,,
78,PGC10129,17.597,0.0020784205796393505,1.299
79,PGC10132,,fit fail,fit fail
80,PGC101330,,,
81,PGC101367,14.341,0.0011043403560580785,3.328
82,PGC10139,,,
83,PGC1014,,,
84,PGC10142,77.01,0.0019008052858615046,3.545
85,PGC101427,,,
86,PGC101469,,,
87,PGC101536,,,
88,PGC1016275,,,
89,PGC1016288,,,
90,PGC10170,,,
91,PGC1017163,19.185,0.0012762141437629175,0.748
92,PGC10172,30.492,0.0192563015493487,0.581
93,PGC1017237,22.265,0.0055955646422951345,0.635
94,PGC10175,22.423,0.007938683285898534,1.003
95,PGC10182,16.881,0.014144183405328971,0.455
96,PGC1019240,,,
97,PGC1019297,20.137,0.014731884925975828,0.514
98,PGC1019436,,,
99,PGC1019975,,,
100,PGC102,,,
101,PGC10203,,,
102,PGC10205,18.85,0.001212118323275565,0.952
103,PGC10207,19.372,0.009654088127011032,0.429
104,PGC10208,68.562,0.006099740336618691,0.392
105,PGC10209,,,
106,PGC1021186,,,
107,PGC1021782,14.86,0.019134778467286232,0.543
108,PGC10218,36.065,0.003585005345674309,0.712
109,PGC10222,26.439,0.010097661895704746,0.73
110,PGC10229,26.679,0.018952976590153655,0.732
111,PGC10235,,,
112,PGC10243,,,
113,PGC10245,,,
114,PGC1024783,,,
115,PGC10256,,,
116,PGC10257,9.412,0.05738478373064046,0.365
117,PGC10262,,,
118,PGC10266,,,
119,PGC10268,,,
120,PGC10270,,,
121,PGC10271,,,
122,PGC10272,,,
123,PGC1027901,27.136,0.0001077685155841408,1.829
124,PGC1028168,,,
125,PGC1028639,,,
126,PGC1028862,25.398,0.01155982089723222,0.664
127,PGC1029331,25.463,0.0020498593121023308,0.477
128,PGC10296,,,
129,PGC10297,,,
130,PGC10298,,,
