PGC,re,amp,n
PGC100031,,,
PGC100035,,,
PGC100042,,,
PGC100050,,,
PGC100060,,,
PGC100070,,,
PGC100071,,,
PGC10008,12.717,0.0028631215023153665,0.824
PGC100080,,,
PGC1000913,18.541,0.0006040273948973653,0.265
PGC100096,,,
PGC100097,,,
PGC1001,,,
PGC10010,11.237,0.021509696889672136,0.979
PGC100101,,,
PGC100102,,,
PGC1001046,17.107,0.019614487375485087,0.769
PGC100123,,,
PGC100133,10.179,0.0033248884136346762,0.537
PGC100135,52.869,0.0007800123789150356,1.475
PGC100137,,,
PGC10015,,,
PGC100158,29.52,0.0004942769956112317,0.944
PGC10017,21.13,0.009370383041134005,0.628
PGC100174,,,
PGC1001786,,,
PGC1002028,10.915,0.013596514593095344,0.562
PGC10026,,,
PGC10028,,,
PGC10029,,,
PGC1003139,14.287,0.02093848036737787,0.49
PGC10032,15.247,0.0354504828240134,0.346
PGC10034,28.099,0.004831861709863987,1.963
PGC10038,,,
PGC10041,64.904,0.010027433462694071,2.784
PGC10042,,,
PGC10043,,,
PGC10044,26.306,0.030753842176125517,0.832
PGC10045,34.591,0.01214663823464695,0.913
PGC10047,16.574,0.009694494228230311,0.523
PGC1004715,,,
PGC10048,116.291,0.0014661770639178154,1.275
PGC10050,,,
PGC10051,,,
PGC10052,76.798,0.039619822918248004,0.634
PGC10055,,,
PGC1005530,,,
PGC10060,,,
PGC10062,,,
PGC1006370,11.743,0.011109539000608059,0.545
PGC10065,32.791,0.03301210346256718,0.164
PGC10066,,,
PGC1006861,,,
PGC1007,,,
PGC10072,24.786,0.018034736792977797,0.798
PGC1007266,,,
PGC100738,12.131,0.00795158811194258,0.251
PGC1007529,19.979,0.007698702831965421,0.343
PGC1007559,7.262,0.027799949258518204,0.52
PGC1007660,,,
PGC100768,,,
PGC10078,,,
PGC10079,,,
PGC1007925,,fit fail,fit fail
PGC10080,,,
PGC1008446,10.61,0.022177914836273842,0.757
PGC10085,23.654,0.012245955983956093,1.52
PGC1009220,34.19,0.009965752285969865,0.644
PGC1010080,,,
PGC1010767,,,
PGC10112,21.753,0.016756907987130316,0.968
PGC1011381,,,
PGC10122,85.928,0.008205331212596631,0.552
PGC10123,,,
PGC10124,,,
PGC101241,11.042,0.011701590191798922,1.483
PGC10125,79.51,2.5886791222734123e-05,3.597
PGC10127,,,
PGC10129,6.127,0.011972619786212915,0.63
PGC10132,8.945,0.0037916129637866752,0.815
PGC101330,,,
PGC101367,29.544,0.0007075163248097896,2.467
PGC10139,,,
PGC1014,,,
PGC10142,35.355,0.009148658476644402,2.003
PGC101427,,,
PGC101469,,,
PGC101536,,,
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,13.039,0.002198389457699736,0.922
PGC10172,28.338,0.022999446679615353,0.468
PGC1017237,65.297,0.001314317663011206,1.892
PGC10175,14.053,0.012766987808762434,1.119
PGC10182,13.63,0.02193884399186786,0.366
PGC1019240,,,
PGC1019297,17.098,0.020316447737453953,0.451
PGC1019436,,,
PGC1019975,,,
PGC102,,,
PGC10203,,,
PGC10205,15.581,0.0018849601115560424,1.235
PGC10207,17.558,0.012578794628646332,0.347
PGC10208,64.438,0.006683721751363848,0.352
PGC10209,,,
PGC1021186,,,
PGC1021782,11.639,0.03928750108887883,0.364
PGC10218,25.9,0.00597787672058078,0.848
PGC10222,23.098,0.009878978602724239,1.08
PGC10229,20.985,0.034526431686310186,0.739
PGC10235,,,
PGC10243,,,
PGC10245,,,
PGC1024783,,,
PGC10256,,,
PGC10257,39.299,0.00517270623394495,2.266
PGC10262,,,
PGC10266,,,
PGC10268,,,
PGC10270,,,
PGC10271,,,
PGC10272,,,
PGC1027901,7.963,0.0007418770902320431,0.877
PGC1028168,,,
PGC1028639,,,
PGC1028862,29.361,0.010447629988101328,0.927
PGC1029331,23.506,0.0033471601047879835,0.556
PGC10296,,,
PGC10297,,,
PGC10298,,,
PGC10302,7.825,0.014558936752976766,0.751
PGC10303,16.24,0.01156631605713618,1.757
PGC10305,15.867,0.0058457775930343065,1.426
PGC10309,32.51,0.008495360280844057,0.948
PGC10313,,,
PGC10314,48.102,0.02516206647225844,0.534
PGC1031827,9.181,0.022907824115273843,1.321
PGC10319,20.28,0.009381749370185728,0.262
PGC1032003,,,
PGC10321,10.044,0.030832825807378023,0.743
PGC1032257,81.16,8.149449098024193e-05,1.602
PGC10325,,,
PGC10326,28.935,0.011510357556377466,0.611
PGC10329,,fit fail,fit fail
PGC10330,5.802,0.08765531610784823,0.61
PGC10331,33.707,0.0067137579574800535,0.527
PGC1033456,10.682,0.009186591726410245,1.208
PGC10337,11.523,0.027214256555565336,0.492
PGC10338,42.538,0.0006052858935405806,2.032
PGC10339,,,
PGC1034,,,
PGC10340,17.367,0.009760108815578795,1.893
PGC1034103,10.348,0.02134770852769965,0.519
PGC10343,23.841,0.011763605455545285,1.446
PGC10350,,,
PGC10370,,fit fail,fit fail
PGC1037301,,fit fail,fit fail
PGC10381,,,
PGC1039411,,,
PGC10407,,,
PGC10411,23.974,0.03102366475300523,0.666
PGC10413,,,
PGC1041440,,,
PGC1041511,12.548,0.014140430877053543,0.157
PGC1041550,,,
PGC10417,11.039,0.0024040829587312702,0.926
PGC10419,34.677,0.0002019901412970481,2.498
PGC10421,,,
PGC1042134,,,
PGC1042309,11.401,0.014818639265283174,0.457
PGC10431,16.549,0.001438720695953195,1.009
PGC104394,9.925,0.025759364966642013,1.342
PGC10445,,,
PGC1046094,12.345,0.02677946664080282,0.557
PGC1046170,20.276,0.0061294460036772115,0.556
PGC104631,13.69,0.019715883641260305,0.424
PGC10464,,,
PGC1047309,,,
PGC10483,,,
PGC104868,,,
PGC10488,76.886,0.012221020712588264,2.059
PGC104917,9.196,0.027958991381174584,0.546
PGC10496,34.926,0.07360653169348545,0.488
PGC10507,61.714,0.009938555082925788,0.332
PGC1051,,,
PGC10512,58.136,0.002266934041677927,1.255
PGC1052018,,,
PGC1052121,,,
PGC1052160,,,
PGC1053462,,,
PGC10535,,,
PGC1053691,48.786,0.0012416459925854214,1.576
PGC1054061,,,
PGC10542,,,
PGC10559,14.81,0.03496720394780427,0.6
PGC10571,,,
PGC1057446,11.015,0.02422965069731277,0.649
PGC10587,20.837,0.02542187441122365,0.677
PGC10588,,,
PGC1059326,15.462,0.03211972151501524,0.573
PGC10595,,,
PGC1059517,,,
PGC10597,,,
PGC10601,,,
PGC10604,11.264,0.06453721463482645,0.104
PGC10606,23.214,0.01221367003039416,0.647
PGC10607,13.42,0.05459631821907206,1.291
PGC10608,,,
PGC1061333,,,
PGC1061666,11.964,0.00554369954227787,0.792
PGC10617,,,
PGC1062175,,,
