col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,re_des,re,ratio,ratio2,nummasked,R25_arcsec,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo
ESO011-005,15.6,67162,ESO011-005,0.0130262309685349,9.412712,41.7,LT,13.503322365031199,13.503322365031199,1.1552712420165907,0.6899499822208995,98.0,46.89443148672564,ESO011-005,,14.52,0.231,43.46,1.329,18.61,0.5879106762422592
ESO012-010,45.1,72957,ESO012-010,0.0093501526862382,9.230704,32.4,LT,All NaN,,,,,33.66054967045752,ESO012-010,,13.31,0.493,156.97,1.592,56.38,
ESO012-014,47.8,181,ESO012-014,0.0125550581142306,8.699477,32.4,LT,Bad Decomp,,,,,45.19820921123016,ESO012-014,,14.67,0.411,23.92,0.884,47.35,
ESO013-016,26.3,5764,ESO013-016,0.0178574211895465,9.505092,24.55,LT,35.17570467128016,35.17570467128016,0.7476751424250248,0.3148677321433283,947.0,64.2867162823674,ESO013-016,,12.75,0.508,168.64,1.314,38.85,0.3322273599611164
ESO015-001,28.6,13695,ESO015-001,0.0115032019093632,8.6437,22.7,LT,Bad Decomp,,,,,41.41152687370752,ESO015-001,,14.39,0.357,110.22,1.131,34.34,
ESO026-001,25.5,64648,ESO026-001,0.0126130087301135,9.595236,33.6,LT,29.860919830747847,29.860919830747847,0.8539589585496493,0.6292808707820466,740.0,45.406831428408594,ESO026-001,,12.52,0.689,58.26,3.126,62.93,1.109261770260902
ESO027-001,29.5,67546,ESO027-001,0.0225849263370037,10.248524,30.0,LT,21.497263198196066,21.497263198196066,1.3722677034756443,3.247434874044279,2213.0,81.30573481321332,ESO027-001,,10.75,0.765,74.38,5.423,96.07,7.554021025410023
ESO027-008,33.0,68712,ESO027-008,0.0260506607592105,10.086186,22.0,LT,41.37189090106234,41.37189090106234,0.7976430199653415,0.819127121344808,1032.0,93.7823787331578,ESO027-008,,11.59,0.368,146.96,0.712,34.43,0.6104447356688689
ESO048-017,19.8,68138,ESO048-017,0.013177067041397,8.846625999999999,23.7,LT,23.721521683807637,23.721521683807637,0.8346850705414706,1.8015302767458268,432.0,47.4374413490292,ESO048-017,,14.22,0.331,61.47,1.986,38.76,2.5190228544974116
ESO054-021,64.4,13931,ESO054-021,0.0178163535892963,9.387573,15.6,LT,58.28746735271952,58.28746735271952,1.1048687295039128,1.4276090539894009,697.0,64.13887292146667,ESO054-021,,11.84,0.552,79.78,1.974,84.66,1.340521101494484
ESO079-003,15.6,1952,ESO079-003,0.0247069280594587,10.3421135,33.1,LT,Bad Decomp,,,,,88.94494101405132,ESO079-003,,11.44,0.14,130.93,1.112,23.78,
ESO079-005,25.9,2445,ESO079-005,0.0162113346159458,9.040938,21.2,LT,20.24119761997004,20.24119761997004,1.2795685554913492,0.8957153650157585,674.0,58.360804617404874,ESO079-005,,13.64,0.366,7.52,0.835,30.14,0.7445356067726134
ESO079-007,20.1,2919,ESO079-007,0.0133911771699786,8.949574,18.0,LT,22.998232541817167,22.998232541817167,0.8739802053680702,0.38528728880926133,752.0,48.208237811922956,ESO079-007,,13.36,0.743,3.7,1.118,24.27,0.33230001774700685
ESO085-014,36.9,16299,ESO085-014,0.0239231679588556,8.681948,11.9,LT,Bad Decomp,,,,,86.12340465188016,ESO085-014,,12.98,0.298,76.28,1.357,52.0,
ESO085-030,10.9,16567,ESO085-030,0.0113453706726431,8.855753,13.1,,11.038972013723383,11.038972013723383,0.9874107830375314,0.3009435097670019,199.0,40.84333442151516,ESO085-030,,13.14,0.498,147.17,1.377,12.16,0.2398081965115821
ESO085-047,36.2,16780,ESO085-047,0.0096787391230463,8.178535,15.0,LT,23.267771003288413,23.267771003288413,1.5558000805012173,1.4765526951072945,105.0,34.84346084296668,ESO085-047,,14.84,0.479,32.67,1.409,37.53,1.0934298075646558
ESO107-016,22.3,66445,ESO107-016,0.0166655164211988,8.924263,31.5,LT,Bad Decomp,,,,,59.99585911631568,ESO107-016,,14.99,0.184,86.17,1.261,31.65,
ESO114-007,23.3,6513,ESO114-007,0.0119348997250199,8.717782000000001,25.0,LT,16.531294070487426,16.531294070487426,1.4094480384083445,1.2470735000670203,627.0,42.96563901007164,ESO114-007,,14.62,0.593,68.93,1.134,25.12,0.9603459939204032
ESO115-021,73.8,9962,ESO115-021,0.0413826890289783,8.341255,5.06,LT,Bad Decomp,,,,,148.97768050432188,ESO115-021,,13.16,0.194,42.42,1.228,86.79,
ESO116-012,,11984,ESO116-012,0.0299101565033197,10.636776,22.0,LT,fit fail,,,,595.0,107.67656341195091,ESO116-012,No fit,,,,,,
ESO119-016,43.7,16172,ESO119-016,0.0153397656977176,9.087395,31.6,LT,26.947196507663413,26.947196507663413,1.6216900332311868,0.5118276900990704,263.0,55.223156511783365,ESO119-016,,14.35,0.484,17.81,0.848,43.67,0.3653402292681661
ESO120-012,26.2,17567,ESO120-012,0.0145820565521717,8.468331,12.8,LT,42.184007703391714,42.184007703391714,0.6210884509651141,0.49707145151449195,728.0,52.49540358781812,ESO120-012,,13.84,0.551,97.11,1.118,31.12,0.42172474294250245
ESO120-021,29.3,18051,ESO120-021,0.0084687378257513,8.292485000000001,24.1,LT,fit fail,,,0.4820413366641233,123.0,30.48745617270468,ESO120-021,,15.25,0.461,117.1,0.526,33.04,0.3882653769717853
ESO145-025,35.7,67605,ESO145-025,0.0146493641659617,8.410384,17.1,LT,Bad Decomp,,,,,52.73771099746212,ESO145-025,,14.05,0.727,128.36,1.247,45.09,
ESO146-014,39.9,68305,ESO146-014,0.0223264023661613,8.716743,21.7,LT,Bad Decomp,,,,,80.37504851818069,ESO146-014,,14.68,0.154,49.02,1.909,55.96,
ESO149-001,48.3,72443,ESO149-001,0.0284327398985624,9.75065,22.0,LT,Bad Decomp,,,,,102.35786363482464,ESO149-001,,13.08,0.225,29.87,1.269,55.44,
ESO149-003,23.7,72675,ESO149-003,0.0111126787960529,7.1358027,6.0,LT,Bad Decomp,,,,,40.00564366579044,ESO149-003,,15.43,0.353,144.64,1.082,26.05,
ESO150-005,46.3,1440,ESO150-005,0.0195802748203277,8.560298,13.7,LT,48.3960848126226,48.3960848126226,0.9566889590193481,1.441453575799836,1111.0,70.48898935317972,ESO150-005,,13.39,0.862,32.05,1.722,64.79,1.4407864420868775
ESO154-023,133.8,11139,ESO154-023,0.0677358731627464,8.5111265,5.86,,Bad Decomp,,,,,243.84914338588703,ESO154-023,,12.45,0.211,39.55,1.068,142.33,
ESO157-049,14.0,15749,ESO157-049,0.0143819833174347,9.32474,17.3,LT,9.730227662267733,9.730227662267733,1.4388152555042222,0.33528044259867607,209.0,51.775139942764916,ESO157-049,,12.71,0.15,30.37,1.079,17.31,0.29610737047872865
ESO159-025,24.1,17652,ESO159-025,0.0094584226608276,8.111497,16.4,LT,fit fail,,,0.38666148236704256,328.0,34.050321578979364,ESO159-025,,14.9,0.747,90.02,0.857,28.4,0.32546491106176667
ESO187-035,24.5,65762,ESO187-035,0.0130262309685349,8.488936,24.0,LT,Bad Decomp,,,,,46.89443148672564,ESO187-035,,15.14,0.407,114.9,1.476,36.5,
ESO187-051,41.3,66142,ESO187-051,0.0113715259358286,8.199938000000001,16.0,LT,48.19388641356634,48.19388641356634,0.8569551674167173,1.4890032550456143,390.0,40.93749336898296,ESO187-051,,13.56,0.414,13.41,2.565,155.44,4.002951677002599
ESO202-035,20.5,15455,ESO202-035,0.0233248453587293,9.666147,23.7,LT,Bad Decomp,,,,,83.96944329142548,ESO202-035,,12.48,0.183,134.0,1.298,25.29,
ESO202-041,21.0,15650,ESO202-041,0.0109854731708765,8.031951,17.3,,20.044812934675576,20.044812934675576,1.0476525806669936,0.712482240268816,185.0,39.5477034151554,ESO202-041,,15.2,0.488,166.17,1.607,31.56,0.7648278742477495
ESO234-043,27.9,64909,ESO234-043,0.0120453294366598,8.884601,19.4,,35.96311327506774,35.96311327506774,0.7757949037004623,0.43793383274678377,560.0,43.363185971975284,ESO234-043,,13.66,0.549,62.73,2.252,58.96,0.661049123879938
ESO234-049,18.6,65017,ESO234-049,0.0141846528276801,9.1886835,19.4,LT,25.87300112266763,25.87300112266763,0.7188961153680904,0.5976579788533244,668.0,51.064750179648364,ESO234-049,,12.79,0.93,164.18,1.391,23.36,0.5361478642862387
ESO236-039,13.0,67293,ESO236-039,0.0086460709571838,8.169764500000001,21.271582,,11.364812167079354,11.364812167079354,1.1438816417623974,0.7811726069767991,113.0,31.125855445861678,ESO236-039,,15.46,0.472,84.56,0.976,16.83,0.7223700535944797
ESO237-049,24.7,68450,ESO237-049,0.0208842474967241,9.382571,38.2,LT,Bad Decomp,,,,,75.18329098820676,ESO237-049,,14.44,0.153,35.91,1.363,29.99,
