col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo,INCL_DEG,MORPH,T,Re_mine,mse,saloratio,mm15ratio,Re_mine2,mse2,saloratio2,mm15ratio2,n_mine2,nsratio,mse_fuv,n_mine_fuv,Re_mine_fuv,bandratio,Re_mine_w2,mse_w2,n_mine_w2,Re_mine_w3,mse_w3,n_mine_w3,Re_mine_w4,mse_w4,n_mine_w4
ESO011-005,15.6,67162,ESO011-005,0.0130262309685349,9.412712,41.7,LT,ESO011-005,,14.52,0.231,43.46,1.329,18.61,0.5879106762422592,83.91000366210938,b'SBc ',5.900000095367432,12.5316,1.4383325392127766,1.4850458042069647,1.244853011586709,8.352,7.947391650691104,2.228208812260536,1.867816091954023,1.917,1.0185972369819343,,,,0.1215295966474594,5.176,22.70210779739047,4.251,12.28,0.17091558156784456,0.783,68.724,0.16962779959680757,1.882
ESO012-010,45.1,72957,ESO012-010,0.0093501526862382,9.230704,32.4,LT,ESO012-010,,13.31,0.493,156.97,1.592,56.38,,26.81999969482422,b'SBd ',7.699999809265137,,,,,,,,,,,,,,,,,,,,,,,
ESO012-014,47.8,181,ESO012-014,0.0125550581142306,8.699477,32.4,LT,ESO012-014,,14.67,0.411,23.92,0.884,47.35,,90.0,b'SBm ',9.0,,,,,,,,,,,,,,,,,,,,,,,
ESO013-016,26.3,5764,ESO013-016,0.0178574211895465,9.505092,24.55,LT,ESO013-016,,12.75,0.508,168.64,1.314,38.85,0.3322273599611164,56.709999084472656,b'SBcd',7.300000190734863,33.770700000000005,0.06630847544766183,1.1504055290532915,0.7787816065405809,33.771,0.0663084754476618,1.1503953095851471,0.7787746883420686,0.811,1.2122571001494769,0.0060903862298276705,0.62,30.131,1.3587752474450794,33.029,0.026222553137547216,0.823,27.622,0.19008544785688186,0.788,24.854,0.15387910592993548,0.669
ESO015-001,28.6,13695,ESO015-001,0.0115032019093632,8.6437,22.7,LT,ESO015-001,,14.39,0.357,110.22,1.131,34.34,,90.0,b'IB  ',9.600000381469727,,,,,,,,,,,,,,,,,,,,,,,
ESO026-001,25.5,64648,ESO026-001,0.0126130087301135,9.595236,33.6,LT,ESO026-001,,12.52,0.689,58.26,3.126,62.93,1.109261770260902,30.389999389648438,b'SBc ',5.900000095367432,43.9713,0.056013858496916896,1.4311607798723258,0.5799237229738489,43.971,0.056013858496916896,1.4311705442223284,0.5799276796070137,2.021,0.7002772002772002,0.001457858018297453,0.391,28.472,0.007804408955928012,41.103,0.034021081990773756,2.013,18.472,0.1600264421752989,0.92,5634.123,0.2671755872464654,2.886
ESO027-001,29.5,67546,ESO027-001,0.0225849263370037,10.248524,30.0,LT,ESO027-001,,10.75,0.765,74.38,5.423,96.07,7.554021025410023,36.290000915527344,b'SBc ',5.0,33.0453,1.274545046964078,2.9072212992467916,0.8927139411656121,567.058,2.0591121876318494,0.16941829583569934,0.05202289712868877,5.779,8.638266068759341,0.0020798122692417824,0.855,44.168,63.429306487695754,30.763,0.44321280991545225,1.496,101.319,22.34771799743359,3.869,8.94,37.17320642236176,0.669
ESO027-008,33.0,68712,ESO027-008,0.0260506607592105,10.086186,22.0,LT,ESO027-008,,11.59,0.368,146.96,0.712,34.43,0.6104447356688689,73.63999938964844,b'SBc ',5.099999904632568,39.1194,1.267290726524184,0.8801259733022491,0.8435712204174911,39.119,1.2672907265241835,0.8801349727753777,0.8435798461105857,0.683,1.6947890818858562,0.0005533297856740332,0.289,39.508,1.1099792866668559,37.444,0.4306621341767786,0.633,37.04,3.080603634841861,0.397,35.243,1.7973192376757643,0.403
ESO048-017,19.8,68138,ESO048-017,0.013177067041397,8.846625999999999,23.7,LT,ESO048-017,,14.22,0.331,61.47,1.986,38.76,2.519022854497412,62.529998779296875,b'SBcd',6.900000095367432,28.6893,0.010170878616208167,1.351026340830902,0.6901527747278603,28.689,0.010170878616208169,1.3510404684722366,0.6901599916344243,0.725,0.8201357466063348,0.0008202663245715734,0.574,26.334,1.501413020724304,26.441,0.005158993278289907,0.659,24.73,0.009792876198244383,0.729,19.108,0.02232267499714894,0.884
ESO054-021,64.4,13931,ESO054-021,0.0178163535892963,9.387573,15.6,LT,ESO054-021,,11.84,0.552,79.78,1.974,84.66,1.340521101494484,65.80999755859375,b'Sd  ',7.900000095367432,73.96650000000001,0.015011684531690418,1.1445722049846887,0.8706644224074411,73.967,0.015011684531690444,1.1445644679384048,0.8706585369151109,1.366,1.0356330553449584,,,,1.1523493487879353,65.773,0.007946360931887417,1.313,56.678,0.05980987223274125,1.271,64.188,0.11606463794184893,1.319
