PGC,re,amp,n
PGC100031,,,
PGC100035,,,
PGC100042,,,
PGC100050,,,
PGC100060,,,
PGC100070,,,
PGC100071,,,
PGC10008,,fit fail,fit fail
PGC100080,,,
PGC1000913,14.179,0.0017734176171090837,0.52
PGC100096,,,
PGC100097,,,
PGC1001,,,
PGC10010,22.166,0.025564651385768775,1.061
PGC100101,,,
PGC100102,5.373,-0.0028547578759964796,1.653
PGC1001046,26.02,0.0071267239705358814,1.477
PGC100123,,fit fail,fit fail
PGC100133,53.517,0.00043150192375647186,2.338
PGC100135,16.514,0.004119828723243396,0.565
PGC100137,,,
PGC10015,15.333,0.0037799830909108862,0.978
PGC100158,32.239,0.0017660180118049258,0.495
PGC10017,24.406,0.010840368679619643,0.585
PGC100174,,,
PGC1001786,,,
PGC1002028,13.706,0.013311350312732383,0.534
PGC10026,29.845,0.0014973268336296685,1.132
PGC10028,,,
PGC10029,29.882,0.013333225375883823,0.61
PGC1003139,14.377,0.015007337744970676,0.729
PGC10032,59.377,0.002228642836995488,4.05
PGC10034,29.315,0.006976593087899792,1.961
PGC10038,,,
PGC10041,115.166,0.0038332498200417476,4.444
PGC10042,,,
PGC10043,,,
PGC10044,31.606,0.032355963914019,0.541
PGC10045,35.552,0.011422355848693697,0.912
PGC10047,18.444,0.011428899151672377,0.604
PGC1004715,,,
PGC10048,112.32,0.002041053777829249,1.499
PGC10050,18.507,0.002877221375017695,0.678
PGC10051,,,
PGC10052,81.374,0.05966359429900294,0.545
PGC10055,,,
PGC1005530,,,
PGC10060,,,
PGC10062,,,
PGC1006370,14.993,0.01315227836960602,0.47
PGC10065,36.496,0.0396837788591918,0.332
PGC10066,,,
PGC1006861,,,
PGC1007,30.278,0.7591710030056594,2.363
PGC10072,29.083,0.017180733443098384,0.555
PGC1007266,,,
PGC100738,14.301,0.007107420161514472,0.527
PGC1007529,26.263,0.0072164720780404186,0.48
PGC1007559,35.759,0.002469638833032915,2.571
PGC1007660,,,
PGC100768,,,
PGC10078,,,
PGC10079,25.463,0.0033181923950162087,2.464
PGC1007925,58.956,0.00023182116858676846,3.91
PGC10080,,,
PGC1008446,27.424,0.0039049589889392573,1.849
PGC10085,16.68,0.045477790993295165,0.413
PGC1009220,110.841,0.0008039633043893441,4.473
PGC1010080,,,
PGC1010767,,,
PGC10112,22.831,0.026234156197761267,0.699
PGC1011381,,,
PGC10122,87.284,0.0108313546358837,0.594
PGC10123,,,
PGC10124,,,
PGC101241,25.248,0.003468816485678634,2.482
PGC10125,27.093,0.0012982535799981668,1.748
PGC10127,,,
PGC10129,20.355,0.004702890841779359,1.131
PGC10132,48.406,0.0009034588053350404,2.559
PGC101330,,,
PGC101367,53.007,0.0003804649033361884,4.666
PGC10139,,,
PGC1014,,,
PGC10142,28.129,0.013142192017315722,1.94
PGC101427,,,
PGC101469,,,
PGC101536,,,
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,39.916,0.00046912713195854637,2.507
PGC10172,28.2,0.028473568147373562,0.551
PGC1017237,22.568,0.008367997949873094,0.618
PGC10175,81.217,0.0022144847869947784,2.725
PGC10182,16.96,0.015802886693893136,0.564
PGC1019240,,,
PGC1019297,18.293,0.017749267060771068,0.506
PGC1019436,,,
PGC1019975,,,
PGC102,,,
PGC10203,,,
PGC10205,,fit fail,fit fail
PGC10207,19.483,0.012043770963517378,0.457
PGC10208,73.791,0.007998186981793064,0.565
PGC10209,,,
PGC1021186,,,
PGC1021782,25.307,0.006728175867495283,1.673
PGC10218,29.478,0.006631758004030584,0.631
PGC10222,24.458,0.013337027662321357,0.678
PGC10229,28.288,0.028553957209870324,0.649
PGC10235,,,
PGC10243,18.902,0.01945813747339553,0.576
PGC10245,,,
PGC1024783,,,
PGC10256,21.525,0.01584607378703571,0.364
PGC10257,56.484,0.004100094881290173,3.499
PGC10262,,,
PGC10266,,,
PGC10268,,,
PGC10270,,,
PGC10271,,,
PGC10272,,,
PGC1027901,,fit fail,fit fail
PGC1028168,,,
PGC1028639,,,
PGC1028862,22.665,0.011909499067725664,0.847
PGC1029331,29.228,0.002575030778447852,0.71
PGC10296,,,
PGC10297,12.679,0.08485597307044418,0.538
PGC10298,,,
PGC10302,188.583,0.0001832029828193445,4.809
PGC10303,30.174,0.005285435799751901,3.098
PGC10305,18.838,0.005304780797169741,1.451
PGC10309,28.474,0.01558470843601516,0.999
PGC10313,15.174,0.06321172499398821,0.662
PGC10314,48.071,0.040274466216047966,0.544
PGC1031827,37.696,0.001507623409772033,4.004
PGC10319,31.561,0.010423428154325017,0.392
PGC1032003,,,
PGC10321,8.02,0.06063312933058467,1.1
PGC1032257,24.337,0.0007042295078831464,1.882
PGC10325,,,
PGC10326,30.149,0.013385389305476792,0.659
PGC10329,,fit fail,fit fail
PGC10330,33.204,0.008209687060317866,1.78
PGC10331,39.795,0.007876196634631715,0.412
PGC1033456,16.384,0.0036820997742009996,1.823
PGC10337,15.931,0.02928694982787816,0.592
PGC10338,57.565,0.0009424755255105149,2.138
PGC10339,,,
PGC1034,,,
PGC10340,21.328,0.011910765441116248,2.37
PGC1034103,15.286,0.013955947042192348,0.614
PGC10343,16.841,0.03203484853997182,0.621
PGC10350,,,
PGC10370,35.805,0.0005941184532585605,2.069
PGC1037301,26.38,0.0003829259354304013,2.221
PGC10381,,,
PGC1039411,,,
PGC10407,,,
PGC10411,23.486,0.03886452175373191,0.62
PGC10413,33.051,0.0023617924613224556,0.564
PGC1041440,,,
PGC1041511,14.768,0.013902988849600888,0.402
PGC1041550,,,
PGC10417,20.422,0.002677802840664689,0.942
PGC10419,18.326,0.002723314244230014,0.448
PGC10421,23.999,0.02317562991440006,0.448
PGC1042134,,,
PGC1042309,68.961,0.0005382704119369773,3.885
PGC10431,20.326,0.003049736572759561,0.659
PGC104394,38.239,0.005807640124088252,2.51
PGC10445,,,
PGC1046094,25.832,0.006610394292126388,1.733
PGC1046170,21.39,0.007513743812779436,0.57
PGC104631,21.038,0.010697460960954999,0.589
PGC10464,,,
PGC1047309,,,
PGC10483,,,
PGC104868,,,
PGC10488,136.035,0.007649097109268812,3.77
PGC104917,22.173,0.00394445314031492,1.914
PGC10496,36.913,0.10040689524988812,0.548
PGC10507,60.128,0.012104281291627075,0.631
PGC1051,,,
PGC10512,69.931,0.002144111980934976,1.251
PGC1052018,,,
PGC1052121,,,
PGC1052160,,,
PGC1053462,,,
PGC10535,,,
PGC1053691,29.502,0.005233882502827738,0.719
PGC1054061,,,
PGC10542,,,
PGC10559,18.122,0.03837264088645663,0.671
PGC10571,,,
PGC1057446,14.855,0.020966510913749927,0.623
PGC10587,20.577,0.04215031618063324,0.705
PGC10588,,,
