PGC,re,amp,n
PGC100031,,,
PGC100035,,,
PGC100042,,,
PGC100050,,,
PGC100060,,,
PGC100070,,,
PGC100071,,,
PGC10008,23.27,0.002896913972247135,1.377
PGC100080,,,
PGC1000913,20.585,0.0008393786501964805,1.462
PGC100096,,,
PGC100097,,,
PGC1001,,,
PGC10010,14.384,0.04800605759641045,1.161
PGC100101,,,
PGC100102,,fit fail,fit fail
PGC1001046,15.996,0.030310449113679836,0.678
PGC100123,,fit fail,fit fail
PGC100133,10.577,0.007633054231552045,0.588
PGC100135,12.723,0.007902885015140594,0.558
PGC100137,,,
PGC10015,179.73,6.736339486648662e-05,4.281
PGC100158,35.164,0.0006783804018717453,1.57
PGC10017,22.216,0.011877277376522739,0.718
PGC100174,,,
PGC1001786,,,
PGC1002028,11.253,0.01725147534786011,0.595
PGC10026,31.526,0.0010082020393272734,1.932
PGC10028,,,
PGC10029,26.281,0.0170504745418635,0.565
PGC1003139,24.085,0.0074510162418666695,1.599
PGC10032,15.95,0.060839427272856114,0.32
PGC10034,17.085,0.022608092247762092,1.305
PGC10038,,,
PGC10041,8.067,0.38893330394859676,0.482
PGC10042,,,
PGC10043,,,
PGC10044,27.246,0.03228061323111688,0.88
PGC10045,31.438,0.017633287979480647,0.861
PGC10047,19.387,0.008592328536884025,1.073
PGC1004715,,,
PGC10048,107.136,0.0017975817484656132,1.963
PGC10050,14.244,0.004462484631379278,0.886
PGC10051,,,
PGC10052,75.454,0.056223916809790435,0.684
PGC10055,,,
PGC1005530,,,
PGC10060,,,
PGC10062,,,
PGC1006370,13.94,0.012356426282621291,0.766
PGC10065,33.182,0.05226677222524144,0.237
PGC10066,,,
PGC1006861,,,
PGC1007,8.294,8.086528303385819,0.587
PGC10072,24.243,0.02491622696972088,0.619
PGC1007266,,,
PGC100738,10.248,0.011216039226054134,0.577
PGC1007529,20.97,0.013162294506766902,0.342
PGC1007559,9.289,0.02103923879038324,1.068
PGC1007660,,,
PGC100768,,,
PGC10078,,,
PGC10079,14.667,0.009523200189212735,1.543
PGC1007925,18.224,0.0024346008437665816,1.452
PGC10080,,,
PGC1008446,11.15,0.03761610089447831,0.531
PGC10085,15.838,0.03143044805134776,1.077
PGC1009220,37.859,0.010696364368639995,0.799
PGC1010080,,,
PGC1010767,,,
PGC10112,22.118,0.025191999130958685,0.882
PGC1011381,,,
PGC10122,83.506,0.01139522900444924,0.557
PGC10123,,,
PGC10124,,,
PGC101241,12.871,0.01819691995712832,1.385
PGC10125,14.27,0.0030024998987626447,1.335
PGC10127,,,
PGC10129,11.716,0.010850263962941005,1.014
PGC10132,13.388,0.009147557349297715,0.982
PGC101330,,,
PGC101367,12.024,0.008587219640609108,1.124
PGC10139,,,
PGC1014,,,
PGC10142,41.159,0.00900629224311712,2.209
PGC101427,,,
PGC101469,,,
PGC101536,,,
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,10.45,0.00566920096344306,0.751
PGC10172,26.726,0.03241027882722471,0.485
PGC1017237,15.527,0.01799520853355275,0.569
PGC10175,19.219,0.022953373652062802,1.205
PGC10182,13.454,0.024886456586860946,0.52
PGC1019240,,,
PGC1019297,16.042,0.027368898731724385,0.339
PGC1019436,,,
PGC1019975,,,
PGC102,,,
PGC10203,,,
PGC10205,20.406,0.003862318800439495,1.178
PGC10207,17.816,0.015218736584227864,0.407
PGC10208,69.329,0.00871023028770147,0.527
PGC10209,,,
PGC1021186,,,
PGC1021782,12.448,0.04078429575464954,0.406
PGC10218,21.438,0.01303753835530472,0.57
PGC10222,21.599,0.013034451717388066,1.029
PGC10229,21.36,0.04789106138115194,0.774
PGC10235,,,
PGC10243,34.385,0.006408145664812959,1.456
PGC10245,,,
PGC1024783,,,
PGC10256,21.926,0.010055454389846985,0.922
PGC10257,23.479,0.025027898974736933,1.765
PGC10262,,,
PGC10266,,,
PGC10268,,,
PGC10270,,,
PGC10271,,,
PGC10272,,,
PGC1027901,9.131,0.003942512233781871,0.832
PGC1028168,,,
PGC1028639,,,
PGC1028862,19.382,0.020718292868563134,0.713
PGC1029331,25.587,0.003963808223118095,0.863
PGC10296,,,
PGC10297,,fit fail,fit fail
PGC10298,,,
PGC10302,12.708,0.01362113762586625,1.126
PGC10303,23.292,0.015473809344474298,1.847
PGC10305,24.055,0.005885425142048529,1.786
PGC10309,24.685,0.018905435411744175,0.984
PGC10313,11.497,0.09804479052180283,0.736
PGC10314,46.725,0.04215205363292062,0.521
PGC1031827,6.664,0.04414046856415724,0.976
PGC10319,24.588,0.01922664539866687,0.22
PGC1032003,,,
PGC10321,8.965,0.06380006043229497,0.751
PGC1032257,8.375,0.004512822233567054,0.878
PGC10325,,,
PGC10326,28.03,0.01452578792182923,0.799
PGC10329,,fit fail,fit fail
PGC10330,7.556,0.08294972946118988,0.801
PGC10331,32.48,0.010434748001970978,0.468
PGC1033456,8.718,0.019644473922628893,0.829
PGC10337,12.087,0.04248432788749803,0.626
PGC10338,92.51,0.0004883357594035033,3.009
PGC10339,,,
PGC1034,,,
PGC10340,7.94,0.07108577311734568,1.125
PGC1034103,10.566,0.026662341143300357,0.498
PGC10343,13.989,0.047805108180416694,0.587
PGC10350,,,
PGC10370,15.929,0.002515148367618965,1.274
PGC1037301,12.312,0.0025759914828479016,1.071
PGC10381,,,
PGC1039411,,,
PGC10407,,,
PGC10411,21.138,0.05115533243861652,0.761
PGC10413,31.523,0.0025893855839364877,0.837
PGC1041440,,,
PGC1041511,13.224,0.018010660146128638,0.288
PGC1041550,,,
PGC10417,16.676,0.003624240214161729,1.268
PGC10419,22.073,0.002222045896251579,1.374
PGC10421,19.226,0.03995611094698226,0.345
PGC1042134,,,
PGC1042309,9.335,0.026834389615736986,0.441
PGC10431,16.06,0.00461385318191795,0.785
PGC104394,9.404,0.0585155725509867,1.026
PGC10445,,,
PGC1046094,11.564,0.03406906969313503,0.656
PGC1046170,20.147,0.007898995487412113,0.664
PGC104631,12.671,0.029674807675496052,0.347
PGC10464,,,
PGC1047309,,,
PGC10483,,,
PGC104868,,,
PGC10488,12.385,0.4932054938904116,0.202
PGC104917,8.997,0.037073964918339704,0.484
PGC10496,37.263,0.09782805967873912,0.615
PGC10507,61.254,0.009777092097736131,0.921
PGC1051,,,
PGC10512,37.881,0.006794489488717804,0.749
PGC1052018,,,
PGC1052121,,,
PGC1052160,,,
PGC1053462,,,
PGC10535,,,
PGC1053691,42.174,0.002371390246133661,1.427
PGC1054061,,,
PGC10542,,,
PGC10559,11.273,0.08049604618121593,0.42
PGC10571,,,
PGC1057446,11.137,0.034907442624937696,0.623
PGC10587,17.513,0.053997823025407676,0.704
PGC10588,,,
PGC1059326,17.17,0.03388109261011249,0.713
