PGC,PA
PGC49681,178
PGC9555,7
PGC38190,160
PGC50429,150
PGC47582,74
PGC55504,14
PGC67545,172
PGC37967,80
PGC16197,166
PGC16368,54
PGC47641,0
PGC12194,111
PGC15850,45
PGC72957,150
PGC32479,55
PGC53391,164
PGC7460,127
PGC54264,177
PGC31421,135
PGC651653,8
PGC9426,107
PGC42429,135
PGC43796,127
PGC67805,17
PGC27015,165
PGC16057,35
PGC15923,50
PGC328,169
PGC47990,162
PGC134397,125
PGC16488,20
PGC577217,20
PGC787280,117
PGC28418,93
PGC37245,94
PGC18066,100
PGC1680,67
PGC68771,120
PGC33070,45
PGC44417,13
PGC937614,177
PGC621442,124
PGC9646,45
PGC69375,70
PGC16943,100
PGC44108,28
PGC155650,26
PGC6430,122
PGC63054,79
PGC64168,167
PGC28373,96
PGC40329,60
PGC162485,65
PGC1518,89
PGC43350,55
PGC26001,19
PGC46383,157
PGC69991,21
PGC28066,65
PGC34728,30
PGC180413,115
PGC14674,94
PGC2984,40
PGC980815,101
PGC43321,45
PGC51702,88
PGC9955,96
PGC26223,140
PGC735358,5
PGC67557,61
PGC30880,121
PGC67627,177
PGC68536,16
PGC2802340,4
PGC52666,108
PGC743697,29
PGC52734,34
PGC12701,20
PGC146649,29
PGC11969,51
PGC146069,119
PGC28792,26
PGC145892,173
PGC944989,4
PGC159454,114
PGC32515,27
PGC43754,5
PGC86318,53
PGC3928,140
PGC49506,122
PGC68604,105
PGC158154,157
PGC47575,76
PGC34731,138
PGC62218,150
PGC44095,60
PGC72252,125
PGC54016,15
PGC50015,136
PGC9991,40
PGC72969,12
PGC4406,70
PGC36186,168
PGC33306,159
PGC17976,125
PGC49580,3
PGC65075,91
PGC43836,149
PGC89046,122
PGC27723,65
PGC30180,20
PGC165964,106
PGC68469,164
PGC10709,96
PGC43822,151
PGC16363,54
PGC58661,45
PGC3083260,29
PGC18148,55
PGC134360,87
PGC13894,152
PGC44891,55
PGC31317,149
PGC24328,115
PGC31401,173
PGC30407,93
PGC13299,6
PGC12706,28
PGC50670,124
PGC28510,67
PGC13714,75
PGC270076,83
PGC43182,130
PGC13445,85
PGC27825,35
PGC15780,76
PGC31487,177
PGC83842,29
PGC5930,87
PGC9928,113
PGC25407,155
PGC48087,50
PGC10266,70
PGC17670,5
PGC34357,170
PGC17452,9
PGC45272,151
PGC11274,10
PGC43662,30
PGC9427,153
PGC43809,170
PGC6626,20
PGC133826,169
PGC49466,5
PGC47684,164
PGC52678,38
PGC64654,118
PGC31979,170
PGC68199,160
PGC72454,130
PGC440987,127
PGC39015,8
PGC15869,145
PGC71530,135
PGC132448,89
PGC28234,10
PGC43571,164
PGC13738,33
PGC166022,127
PGC63396,62
PGC21703,167
PGC64325,39
PGC44747,10
PGC30047,42
PGC65047,16
PGC5742,79
PGC43345,70
PGC8276,46
PGC13801,135
PGC41083,100
PGC133346,68
PGC26717,175
PGC165942,119
PGC23304,47
PGC15735,150
PGC31432,159
PGC43927,170
PGC13505,35
PGC31162,129
PGC778366,14
PGC46661,124
PGC44949,28
PGC27006,93
PGC968830,42
PGC21370,169
PGC28298,71
PGC2675,50
PGC53845,119
PGC43949,94
PGC9798,25
PGC62895,30
PGC22572,32
PGC14851,132
PGC69713,86
PGC35538,10
PGC7071,62
PGC67410,85
PGC64763,8
PGC18894,100
PGC90207,158
PGC16211,68
PGC413124,94
PGC43049,63
PGC32514,175
PGC20301,120
PGC67387,105
PGC15426,111
PGC52375,54
PGC9040,28
PGC267144,17
PGC23378,61
PGC70505,56
PGC6693,95
