PGC,re,amp,n
PGC100031,,,
PGC100035,11.661,0.536808860746201,0.662
PGC100042,22.104,0.18665868307431502,1.935
PGC100050,,,
PGC100060,10.81,0.6219320691416033,0.823
PGC100070,12.581,0.1407618707274802,0.788
PGC100071,10.945,0.4234569172555722,0.607
PGC10008,13.104,0.866244309448752,1.042
PGC100080,10.266,1.4879525758792607,0.865
PGC1000913,8.245,0.5873236623879416,0.526
PGC100096,30.546,0.25023735582958034,1.464
PGC100097,7.11,0.5904189304869714,0.737
PGC1001,,fit fail,fit fail
PGC10010,8.12,4.831237842722431,0.89
PGC100101,16.318,0.8220957683566875,1.084
PGC100102,8.593,0.5706205622699736,1.183
PGC1001046,19.748,0.03393526543797093,1.676
PGC100123,10.376,0.3522075838823532,0.889
PGC100133,8.765,0.47756701804414914,0.642
PGC100135,8.277,0.30876362356815207,0.541
PGC100137,,,
PGC10015,13.228,0.5532620893893506,1.444
PGC100158,9.402,0.7948178833726208,0.498
PGC10017,24.751,0.03095889909722078,1.136
PGC100174,,,
PGC1001786,13.647,0.04969923414189069,0.933
PGC1002028,11.971,0.027210678939666437,1.156
PGC10026,7.556,0.64374110403737,0.901
PGC10028,,,
PGC10029,22.701,0.4377584815340787,1.029
PGC1003139,13.518,0.13659875759857004,0.73
PGC10032,12.87,0.8771517121823774,0.539
PGC10034,9.173,1.3269154352357495,0.799
PGC10038,,,
PGC10041,11.316,0.5424364575804801,0.787
PGC10042,,,
PGC10043,,,
PGC10044,38.835,0.027815571494363346,0.973
PGC10045,17.569,0.16800818729996775,0.681
PGC10047,11.746,0.22157225953882187,0.808
PGC1004715,18.851,0.021341848246178734,1.024
PGC10048,18.608,1.5883175110519567,1.078
PGC10050,11.422,1.041231112959647,0.782
PGC10051,21.696,0.6920868088468259,1.077
PGC10052,58.98,0.22587857262716365,0.931
PGC10055,,,
PGC1005530,9.654,0.09124867546664653,0.705
PGC10060,,,
PGC10062,,,
PGC1006370,11.805,0.0719927394892611,0.725
PGC10065,27.269,0.9580565750693014,0.826
PGC10066,,,
PGC1006861,21.521,0.02326710208938851,1.874
PGC1007,14.601,0.5608675341203209,0.945
PGC10072,13.013,0.25409480467160384,0.391
PGC1007266,15.378,0.050439033550441006,1.301
PGC100738,9.342,0.6167597815307719,1.071
PGC1007529,15.205,0.07588072780165647,0.689
PGC1007559,6.809,0.05827123759493512,0.659
PGC1007660,12.006,0.05392703940359913,1.134
PGC100768,9.274,1.312243204161833,0.694
PGC10078,,,
PGC10079,15.31,0.12157636980647693,1.267
PGC1007925,9.77,0.5883873368686429,0.858
PGC10080,,,
PGC1008446,9.947,0.20697032721632372,0.554
PGC10085,12.081,0.14899299949655623,0.665
