PGC,re,amp,n
PGC100031,,,
PGC100035,13.436,2.220155382272791,0.538
PGC100042,15.246,0.11833396122631479,0.759
PGC100050,,,
PGC100060,12.313,2.182984564637209,0.608
PGC100070,16.063,0.24877035606628065,0.66
PGC100071,14.089,0.6022336312271885,0.607
PGC10008,,fit fail,fit fail
PGC100080,17.23,0.6941433812482118,1.847
PGC1000913,16.61,0.10916451639921079,2.474
PGC100096,63.009,0.18280607059850698,3.284
PGC100097,16.254,0.016307795833867038,1.91
PGC1001,15.493,0.04298124187411232,1.645
PGC10010,18.413,9.61255195410876,1.647
PGC100101,20.086,0.6563417472198539,0.402
PGC100102,15.176,0.03764456467586516,3.2
PGC1001046,15.041,0.09325312105444838,1.005
PGC100123,62.523,0.02734291180805,1.336
PGC100133,28.198,0.09605249319739091,2.773
PGC100135,12.221,0.3516168336353193,0.564
PGC100137,,,
PGC10015,100.156,0.004752497147174565,4.62
PGC100158,23.821,0.09559788884881372,2.059
PGC10017,24.72,0.03914853214294091,0.748
PGC100174,,,
PGC1001786,30.484,0.005344811380589159,1.875
PGC1002028,18.79,0.02135852796712332,1.844
PGC10026,51.943,0.02131971474729601,2.695
PGC10028,,,
PGC10029,24.857,1.365723598148833,0.679
PGC1003139,23.535,0.13312056538174,1.43
PGC10032,38.529,0.30836931924965844,4.466
PGC10034,11.773,3.2982043932860687,0.532
PGC10038,,,
PGC10041,25.86,0.5424399382952197,1.976
PGC10042,,,
PGC10043,,,
PGC10044,33.877,0.1397789388101357,0.557
PGC10045,17.253,0.29324948674510326,0.498
PGC10047,14.002,0.5299908812523745,0.525
PGC1004715,19.474,0.056225537048335994,0.35
PGC10048,51.551,0.395314305042097,1.18
PGC10050,61.706,0.012518681533042798,3.443
PGC10051,30.443,1.2922970598327777,1.326
PGC10052,59.938,0.6225718257307996,0.493
PGC10055,,,
PGC1005530,18.886,0.020129934144988957,3.95
PGC10060,,,
PGC10062,,,
PGC1006370,41.752,0.009124477198484434,3.985
PGC10065,29.764,4.3888554405566556,0.622
PGC10066,,,
PGC1006861,50.281,0.00868180672295328,4.359
PGC1007,118.834,0.04998033979952363,1.218
PGC10072,118.248,0.005739129434374093,4.512
PGC1007266,14.774,0.209908110089475,0.548
PGC100738,17.14,1.195718777397163,1.299
PGC1007529,23.903,0.06532067013843007,0.593
PGC1007559,23.052,0.011074047614623935,2.134
PGC1007660,13.126,0.12731500899710332,0.434
PGC100768,12.147,3.774955587518397,0.643
PGC10078,,,
PGC10079,11.966,0.7656356527817956,0.469
PGC1007925,22.4,0.03809656671606239,1.564
PGC10080,,,
PGC1008446,29.454,0.05074820938546381,2.298
PGC10085,16.867,0.30328637084827276,0.482
PGC1009220,14.59,0.07865495975366017,0.11
PGC1010080,19.517,0.03560727763870789,1.309
PGC1010767,17.387,0.023594344310120124,0.687
PGC10112,15.432,1.1293390733384232,0.523
PGC1011381,50.879,0.01767241888469014,4.243
PGC10122,65.301,0.26008779788495096,0.665
PGC10123,,,
PGC10124,,,
PGC101241,9.632,0.3209476160584476,0.704
PGC10125,73.593,0.006290552373137429,4.482
PGC10127,157.652,0.017556947977476395,5.119
PGC10129,139.371,0.007308467566400895,5.115
PGC10132,21.631,0.0405130393916522,0.642
PGC101330,43.259,0.41299913816413014,2.86
PGC101367,10.449,0.11825349996971743,1.723
PGC10139,65.889,0.017804757396664057,1.079
PGC1014,,,
PGC10142,35.904,0.10281052414924804,2.81
PGC101427,,,
PGC101469,22.139,0.12631184472382723,2.679
PGC101536,23.422,0.028237664371895198,2.42
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,29.743,0.01569460967093223,3.025
PGC10172,20.918,0.29803480901151813,0.467
PGC1017237,48.948,0.021519839018023425,2.981
PGC10175,21.661,3.3242229949177338,1.357
PGC10182,13.916,0.03537615387020174,0.653
PGC1019240,,,
PGC1019297,12.732,0.05296472901648163,0.322
PGC1019436,,,
PGC1019975,36.647,0.03908150044677215,3.315
PGC102,,,
PGC10203,53.884,0.05300753680475835,3.314
PGC10205,102.975,0.010664264767829848,4.643
PGC10207,19.841,0.0465541520404095,0.449
PGC10208,154.846,0.6777326766310434,3.236
PGC10209,19.722,0.01837834515034724,0.363
PGC1021186,,,
PGC1021782,15.686,0.13031037738522577,1.435
PGC10218,17.211,0.148464220838822,0.601
PGC10222,20.082,0.041994036856845156,0.848
PGC10229,28.242,0.6022637024582018,0.657
PGC10235,14.784,0.28868392383011593,0.406
PGC10243,14.52,0.5964095841836924,0.583
PGC10245,,,
PGC1024783,18.178,0.262311704230171,1.089
PGC10256,18.249,0.18576068171474255,0.647
PGC10257,14.454,6.292064982704758,1.05
PGC10262,,fit fail,fit fail
PGC10266,,,
PGC10268,,,
PGC10270,27.06,0.06953084451399869,0.964
PGC10271,,,
PGC10272,12.321,7.017248791240728,0.829
PGC1027901,60.994,0.004080868978869105,2.873
PGC1028168,20.351,0.029474387277064546,1.719
PGC1028639,11.927,0.10079468114144927,1.943
PGC1028862,22.631,0.06856648730273134,0.847
PGC1029331,20.854,0.29915043260590335,2.075
PGC10296,33.01,1.043492601621806,0.483
PGC10297,13.061,0.13247546460584633,0.507
PGC10298,,,
PGC10302,15.82,0.37684954147487115,0.944
PGC10303,23.943,1.1270748314423926,2.442
PGC10305,94.1,0.00728827146479429,3.606
PGC10309,19.917,1.505218698075579,0.769
PGC10313,19.777,1.3748857361489977,0.968
PGC10314,38.803,0.86077264832582,0.705
PGC1031827,15.377,0.22887777693901917,1.692
PGC10319,25.867,1.5299931244103127,0.622
PGC1032003,,,
PGC10321,9.279,5.2482250162952795,5.396
